n,categoria,cat_norm,data,anno,valore,file,valore_delta
1,Omicidi commessi,omicidi,2022-01-09,2022,7,2022-01-10.csv,7
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-01-09,2022,2,2022-01-10.csv,2
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-01-09,2022,4,2022-01-10.csv,4
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-01-09,2022,2,2022-01-10.csv,2
5,di cui da partner/ex partner,omicidi_da_partner,2022-01-09,2022,2,2022-01-10.csv,2
1,Omicidi commessi,omicidi,2022-01-16,2022,12,2022-01-17.csv,5
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-01-16,2022,3,2022-01-17.csv,1
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-01-16,2022,5,2022-01-17.csv,1
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-01-16,2022,3,2022-01-17.csv,1
5,di cui da partner/ex partner,omicidi_da_partner,2022-01-16,2022,3,2022-01-17.csv,1
1,Omicidi commessi,omicidi,2022-01-30,2022,21,2022-01-31.csv,9
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-01-30,2022,8,2022-01-31.csv,5
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-01-30,2022,12,2022-01-31.csv,7
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-01-30,2022,8,2022-01-31.csv,5
5,di cui da partner/ex partner,omicidi_da_partner,2022-01-30,2022,5,2022-01-31.csv,2
1,Omicidi commessi,omicidi,2022-02-06,2022,29,2022-02-07.csv,8
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-02-06,2022,10,2022-02-07.csv,2
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-02-06,2022,15,2022-02-07.csv,3
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-02-06,2022,9,2022-02-07.csv,1
5,di cui da partner/ex partner,omicidi_da_partner,2022-02-06,2022,6,2022-02-07.csv,1
1,Omicidi commessi,omicidi,2022-02-20,2022,39,2022-02-21.csv,10
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-02-20,2022,10,2022-02-21.csv,0
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-02-20,2022,16,2022-02-21.csv,1
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-02-20,2022,9,2022-02-21.csv,0
5,di cui da partner/ex partner,omicidi_da_partner,2022-02-20,2022,6,2022-02-21.csv,0
1,Omicidi commessi,omicidi,2022-03-06,2022,46,2022-03-07.csv,7
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-03-06,2022,13,2022-03-07.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-03-06,2022,20,2022-03-07.csv,4
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-03-06,2022,12,2022-03-07.csv,3
5,di cui da partner/ex partner,omicidi_da_partner,2022-03-06,2022,8,2022-03-07.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-03-06,2022,8,2022-03-07.csv,0
1,Omicidi commessi,omicidi,2022-03-13,2022,52,2022-03-14.csv,6
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-03-13,2022,16,2022-03-14.csv,3
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-03-13,2022,25,2022-03-14.csv,5
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-03-13,2022,15,2022-03-14.csv,3
5,di cui da partner/ex partner,omicidi_da_partner,2022-03-13,2022,11,2022-03-14.csv,3
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-03-13,2022,11,2022-03-14.csv,3
1,Omicidi commessi,omicidi,2022-06-26,2022,138,2022-06-27.csv,86
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-06-26,2022,59,2022-06-27.csv,43
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-06-26,2022,66,2022-06-27.csv,41
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-06-26,2022,51,2022-06-27.csv,36
5,di cui da partner/ex partner,omicidi_da_partner,2022-06-26,2022,31,2022-06-27.csv,20
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-06-26,2022,31,2022-06-27.csv,20
1,Omicidi commessi,omicidi,2022-07-03,2022,144,2022-07-04.csv,6
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-07-03,2022,61,2022-07-04.csv,2
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-07-03,2022,69,2022-07-04.csv,3
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-07-03,2022,53,2022-07-04.csv,2
5,di cui da partner/ex partner,omicidi_da_partner,2022-07-03,2022,33,2022-07-04.csv,2
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-07-03,2022,33,2022-07-04.csv,2
1,Omicidi commessi,omicidi,2022-08-07,2022,189,2022-08-08.csv,45
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-08-07,2022,75,2022-08-08.csv,14
3,di cui in ambito familiare/affettivo,omicidi_ambito_familiare,2022-08-07,2022,86,2022-08-08.csv,17
4,di cui con vittime di sesso femminile,omicidi_ambito_familiare_femminili,2022-08-07,2022,65,2022-08-08.csv,12
5,di cui da partner/ex partner,omicidi_da_partner,2022-08-07,2022,40,2022-08-08.csv,7
6,di cui con vittime di sesso femminile,omicidi_da_partner_femminili,2022-08-07,2022,39,2022-08-08.csv,6
1,Omicidi commessi,omicidi,2022-08-28,2022,200,2022-08-29.csv,11
2,di cui con vittime di sesso femminile,omicidi_femminili,2022-08-28,2022,77,2022-08-29.csv,2
